
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      6ÿ360 K
Secure System                  140 Services                   0     99ÿ988 K
Registry                       184 Services                   0     61ÿ644 K
smss.exe                       612 Services                   0      1ÿ608 K
csrss.exe                     1012 Services                   0      6ÿ156 K
wininit.exe                   1028 Services                   0      8ÿ388 K
csrss.exe                     1036 Console                    1      7ÿ180 K
services.exe                  1104 Services                   0     20ÿ412 K
LsaIso.exe                    1120 Services                   0      4ÿ252 K
lsass.exe                     1132 Services                   0     32ÿ064 K
winlogon.exe                  1204 Console                    1     15ÿ124 K
svchost.exe                   1348 Services                   0     40ÿ460 K
fontdrvhost.exe               1380 Services                   0      4ÿ680 K
fontdrvhost.exe               1388 Console                    1      6ÿ744 K
WUDFHost.exe                  1396 Services                   0     24ÿ444 K
svchost.exe                   1524 Services                   0     17ÿ904 K
svchost.exe                   1576 Services                   0     13ÿ852 K
dwm.exe                       1648 Console                    1    112ÿ072 K
WUDFHost.exe                  1656 Services                   0     11ÿ316 K
svchost.exe                   1860 Services                   0      6ÿ892 K
svchost.exe                   1884 Services                   0      8ÿ144 K
svchost.exe                      8 Services                   0     12ÿ380 K
svchost.exe                    996 Services                   0     21ÿ072 K
svchost.exe                   1268 Services                   0     17ÿ672 K
svchost.exe                   2060 Services                   0     16ÿ424 K
svchost.exe                   2068 Services                   0     15ÿ408 K
svchost.exe                   2076 Services                   0     14ÿ380 K
svchost.exe                   2080 Services                   0     14ÿ100 K
svchost.exe                   2224 Services                   0     11ÿ116 K
svchost.exe                   2240 Services                   0     12ÿ392 K
svchost.exe                   2288 Services                   0      7ÿ628 K
svchost.exe                   2304 Services                   0     12ÿ928 K
svchost.exe                   2364 Services                   0     10ÿ428 K
svchost.exe                   2372 Services                   0     11ÿ536 K
svchost.exe                   2524 Services                   0     21ÿ656 K
bcmUshUpgradeService.exe      2892 Services                   0     13ÿ288 K
svchost.exe                   2916 Services                   0     11ÿ852 K
svchost.exe                   2932 Services                   0     12ÿ872 K
svchost.exe                   3060 Services                   0     12ÿ124 K
NVDisplay.Container.exe       1544 Services                   0     49ÿ836 K
WUDFHost.exe                  3100 Services                   0     12ÿ488 K
svchost.exe                   3168 Services                   0     21ÿ832 K
svchost.exe                   3288 Services                   0     18ÿ272 K
svchost.exe                   3300 Services                   0     10ÿ612 K
svchost.exe                   3308 Services                   0     10ÿ604 K
svchost.exe                   3320 Services                   0      7ÿ636 K
Memory Compression            3416 Services                   0          N/A
svchost.exe                   3460 Services                   0     17ÿ500 K
svchost.exe                   3492 Services                   0     11ÿ108 K
svchost.exe                   3536 Services                   0      9ÿ884 K
svchost.exe                   3560 Services                   0     12ÿ104 K
svchost.exe                   3572 Services                   0      9ÿ744 K
svchost.exe                   3700 Services                   0      9ÿ404 K
svchost.exe                   3724 Services                   0     18ÿ680 K
svchost.exe                   3772 Services                   0      9ÿ328 K
svchost.exe                   3876 Services                   0     27ÿ320 K
svchost.exe                   3956 Services                   0      8ÿ668 K
svchost.exe                   3968 Services                   0     13ÿ580 K
svchost.exe                   4060 Services                   0      9ÿ508 K
svchost.exe                   3640 Services                   0     21ÿ724 K
svchost.exe                   4232 Services                   0     24ÿ700 K
svchost.exe                   4260 Services                   0     17ÿ116 K
svchost.exe                   4336 Services                   0      9ÿ532 K
spoolsv.exe                   4344 Services                   0     21ÿ300 K
bcmHostStorageService.exe     4416 Services                   0     10ÿ880 K
bcmHostControlService.exe     4428 Services                   0     10ÿ732 K
svchost.exe                   4552 Services                   0     10ÿ624 K
NVDisplay.Container.exe       4620 Console                    1     73ÿ056 K
HidMonitorSvc.exe             4628 Services                   0      8ÿ984 K
svchost.exe                   4636 Services                   0     10ÿ540 K
AppleMobileDeviceService.     4648 Services                   0     18ÿ312 K
AdminService.exe              4656 Services                   0     10ÿ876 K
svchost.exe                   4672 Services                   0     19ÿ908 K
mDNSResponder.exe             4680 Services                   0      9ÿ544 K
DellFFDPWmiService.exe        4720 Services                   0     18ÿ952 K
